code,file,canvas_w,canvas_h,bbox_w,bbox_h,x,y,off_x_frac,off_y_frac,off_max_frac,kind,note
iphone-12-mini-black-select-2020,iphone-12-mini-black-select-2020.png,1108,1108,531,719,288,290,-0.0005,0.0862,0.0862,alpha,
iphone-12-mini-white-select-2020,iphone-12-mini-white-select-2020.png,1108,1108,531,719,288,290,-0.0005,0.0862,0.0862,alpha,
iphone-12-mini-red-select-2020,iphone-12-mini-red-select-2020.png,1108,1108,531,719,288,290,-0.0005,0.0862,0.0862,alpha,
iphone-12-mini-green-select-2020,iphone-12-mini-green-select-2020.png,1108,1108,531,719,288,290,-0.0005,0.0862,0.0862,alpha,
iphone-12-mini-blue-select-2020,iphone-12-mini-blue-select-2020.png,1108,1108,531,719,288,290,-0.0005,0.0862,0.0862,alpha,
iphone-13-pro-max-graphite-select,iphone-13-pro-max-graphite-select.png,1120,1120,561,728,280,290,0.0004,0.0839,0.0839,alpha,
iphone-13-pro-max-gold-select,iphone-13-pro-max-gold-select.png,1120,1120,561,728,280,290,0.0004,0.0839,0.0839,alpha,
iphone-13-pro-max-silver-select,iphone-13-pro-max-silver-select.png,1120,1120,561,728,280,290,0.0004,0.0839,0.0839,alpha,
iphone-13-pro-max-blue-select,iphone-13-pro-max-blue-select.png,1120,1120,561,728,280,290,0.0004,0.0839,0.0839,alpha,
iphone-13-pro-max-green-select,iphone-13-pro-max-green-select.png,1120,1120,561,728,280,290,0.0004,0.0839,0.0839,alpha,
iphone-se-midnight-select-202203,iphone-se-midnight-select-202203.png,1135,1135,502,738,316,286,-0.0004,0.0771,0.0771,alpha,
iphone-se-starlight-select-202203,iphone-se-starlight-select-202203.png,1135,1135,502,738,316,286,-0.0004,0.0771,0.0771,alpha,
iphone-se-red-select-202203,iphone-se-red-select-202203.png,1135,1135,502,738,316,286,-0.0004,0.0771,0.0771,alpha,
iphone-11-pro-silver-select-2019,iphone-11-pro-silver-select-2019.png,2411,2411,1169,1567,621,606,0.0,0.0763,0.0763,alpha,
iphone-11-pro-gold-select-2019,iphone-11-pro-gold-select-2019.png,2411,2411,1169,1567,621,606,0.0,0.0763,0.0763,alpha,
iphone-11-pro-space-select-2019,iphone-11-pro-space-select-2019.png,2411,2411,1169,1567,621,605,0.0,0.0759,0.0759,alpha,
iphone-11-pro-midnight-green-select-2019,iphone-11-pro-midnight-green-select-2019.png,2411,2411,1169,1567,621,605,0.0,0.0759,0.0759,alpha,
iphone-xs-gold-select-2018,iphone-xs-gold-select-2018.png,1329,1329,506,864,411,329,-0.0004,0.0726,0.0726,alpha,
iphone-xs-silver-select-2018,iphone-xs-silver-select-2018.png,1329,1329,506,864,411,329,-0.0004,0.0726,0.0726,alpha,
iphone-xs-space-select-2018,iphone-xs-space-select-2018.png,1329,1329,506,864,411,329,-0.0004,0.0726,0.0726,alpha,
MGRM2_AV6,MGRM2_AV6.png,4608,4608,1770,3266,1498,974,0.0171,0.0658,0.0658,alpha,
iphone11-green-select-2019,iphone11-green-select-2019.png,2488,2488,1177,1617,656,599,0.0002,0.0657,0.0657,alpha,
iphone11-black-select-2019,iphone11-black-select-2019.png,2486,2486,1177,1616,654,598,-0.0002,0.0656,0.0656,alpha,
iphone11-white-select-2019,iphone11-white-select-2019.png,2486,2486,1177,1616,654,598,-0.0002,0.0656,0.0656,alpha,
iphone11-yellow-select-2019,iphone11-yellow-select-2019.png,2486,2486,1177,1616,654,598,-0.0002,0.0656,0.0656,alpha,
iphone11-purple-select-2019,iphone11-purple-select-2019.png,2486,2486,1177,1616,654,598,-0.0002,0.0656,0.0656,alpha,
iphone11-red-select-2019,iphone11-red-select-2019.png,2486,2486,1177,1616,654,598,-0.0002,0.0656,0.0656,alpha,
iphonese-gray-select-2016,iphonese-gray-select-2016.png,1434,1434,590,932,422,339,0.0,0.0614,0.0614,alpha,
iphonese-silver-select-2016,iphonese-silver-select-2016.png,1434,1434,590,932,422,339,0.0,0.0614,0.0614,alpha,
iphonese-gold-select-2016,iphonese-gold-select-2016.png,1434,1434,590,932,422,339,0.0,0.0614,0.0614,alpha,
iphonese-rosegold-select-2016,iphonese-rosegold-select-2016.png,1434,1434,590,932,422,339,0.0,0.0614,0.0614,alpha,
MHXH3_AV3,MHXH3_AV3.png,4096,4096,2546,3565,775,483,0.0,0.0531,0.0531,alpha,
ipad-air-select-wifi-silver-202009,ipad-air-select-wifi-silver-202009.png,1406,1406,808,914,299,320,0.0,0.0526,0.0526,alpha,
ipad-air-select-wifi-spacegray-202009,ipad-air-select-wifi-spacegray-202009.png,1406,1406,808,914,299,320,0.0,0.0526,0.0526,alpha,
ipad-air-select-wifi-green-202009,ipad-air-select-wifi-green-202009.png,1406,1406,808,914,299,320,0.0,0.0526,0.0526,alpha,
ipad-air-select-wifi-blue-202009,ipad-air-select-wifi-blue-202009.png,1406,1406,807,914,299,320,-0.0004,0.0526,0.0526,alpha,
ipad-air-select-wifi-gold-202009,ipad-air-select-wifi-gold-202009.png,1408,1408,808,915,300,320,0.0,0.0522,0.0522,alpha,
iphone8-red-select-2018,iphone8-red-select-2018.png,4608,4608,3025,3536,793,765,0.0003,0.0497,0.0497,alpha,
iphone-xr-white-select-201809,iphone-xr-white-select-201809.png,1412,1412,559,918,427,317,0.0004,0.0496,0.0496,alpha,
iphone-xr-black-select-201809,iphone-xr-black-select-201809.png,1412,1412,558,918,427,317,0.0,0.0496,0.0496,alpha,
iphone-xr-blue-select-201809,iphone-xr-blue-select-201809.png,1412,1412,558,918,427,317,0.0,0.0496,0.0496,alpha,
iphone-xr-yellow-select-201809,iphone-xr-yellow-select-201809.png,1412,1412,558,918,427,317,0.0,0.0496,0.0496,alpha,
iphone-xr-coral-select-201809,iphone-xr-coral-select-201809.png,1412,1412,558,918,427,317,0.0,0.0496,0.0496,alpha,
iphone-xr-red-select-201809,iphone-xr-red-select-201809.png,1411,1411,558,917,426,317,-0.0004,0.0496,0.0496,alpha,
ipad-pro-11-select-wifi-silver-202210,ipad-pro-11-select-wifi-silver-202210.png,1465,1465,838,952,313,328,-0.0003,0.0488,0.0488,alpha,
ipad-pro-11-select-wifi-spacegray-202210,ipad-pro-11-select-wifi-spacegray-202210.png,1465,1465,838,952,313,328,-0.0003,0.0488,0.0488,alpha,
ipad-pro-11-select-wifi-silver-202104,ipad-pro-11-select-wifi-silver-202104.png,1469,1469,843,955,314,328,0.0007,0.0483,0.0483,alpha,
ipad-pro-11-select-wifi-spacegray-202104,ipad-pro-11-select-wifi-spacegray-202104.png,1469,1469,843,955,314,328,0.0007,0.0483,0.0483,alpha,
ipad-pro-11-select-wifi-silver-202003,ipad-pro-11-select-wifi-silver-202003.png,1472,1472,846,957,312,328,-0.0007,0.0479,0.0479,alpha,
ipad-pro-11-select-wifi-spacegray-202003,ipad-pro-11-select-wifi-spacegray-202003.png,1472,1472,846,957,312,328,-0.0007,0.0479,0.0479,alpha,
iphone-se-black-select-2020_AV2,iphone-se-black-select-2020_AV2.png,4608,4608,2161,3516,1224,766,0.0001,0.0477,0.0477,alpha,
ipad-air-select-11in-wifi-spacegray-202405,ipad-air-select-11in-wifi-spacegray-202405.png,4608,4608,2974,3380,792,834,-0.0054,0.0477,0.0477,alpha,
ipad-air-select-11in-wifi-blue-202405,ipad-air-select-11in-wifi-blue-202405.png,4608,4608,2975,3380,792,834,-0.0053,0.0477,0.0477,alpha,
ipad-air-select-11in-wifi-purple-202405,ipad-air-select-11in-wifi-purple-202405.png,4608,4608,2974,3380,792,834,-0.0054,0.0477,0.0477,alpha,
ipad-air-select-11in-wifi-starlight-202405,ipad-air-select-11in-wifi-starlight-202405.png,4608,4608,2974,3380,792,834,-0.0054,0.0477,0.0477,alpha,
ipad-pro-11-select-wifi-silver-201810,ipad-pro-11-select-wifi-silver-201810.png,1477,1477,848,960,313,329,-0.001,0.0477,0.0477,alpha,
ipad-pro-11-select-wifi-spacegray-201810,ipad-pro-11-select-wifi-spacegray-201810.png,1477,1477,847,960,314,329,-0.0007,0.0477,0.0477,alpha,
iphone7-plus-black-select-2016,iphone7-plus-black-select-2016.png,1420,1420,789,923,315,316,-0.0004,0.0475,0.0475,alpha,
iphone7-plus-silver-select-2016,iphone7-plus-silver-select-2016.png,1420,1420,788,923,316,316,0.0,0.0475,0.0475,alpha,
iphone7-plus-gold-select-2016,iphone7-plus-gold-select-2016.png,1420,1420,789,923,315,316,-0.0004,0.0475,0.0475,alpha,
iphone7-plus-rosegold-select-2016,iphone7-plus-rosegold-select-2016.png,1420,1420,789,923,315,316,-0.0004,0.0475,0.0475,alpha,
ipad-pro-11-select-wifi-silver-202405,ipad-pro-11-select-wifi-silver-202405.png,4608,4608,2921,3345,843,848,-0.0001,0.047,0.047,alpha,
ipad-pro-11-select-wifi-spaceblack-202405,ipad-pro-11-select-wifi-spaceblack-202405.png,4608,4608,2921,3345,843,848,-0.0001,0.047,0.047,alpha,
ipad-2022-hero-blue-wifi-select,ipad-2022-hero-blue-wifi-select.png,4608,4608,2957,3348,828,841,0.0005,0.0458,0.0458,alpha,
ipad-2022-hero-pink-wifi-select,ipad-2022-hero-pink-wifi-select.png,4608,4608,2957,3348,828,841,0.0005,0.0458,0.0458,alpha,
ipad-2022-hero-yellow-wifi-select,ipad-2022-hero-yellow-wifi-select.png,4608,4608,2957,3348,828,841,0.0005,0.0458,0.0458,alpha,
ipad-2022-hero-silver-wifi-select,ipad-2022-hero-silver-wifi-select.png,4608,4608,2957,3348,828,841,0.0005,0.0458,0.0458,alpha,
iphone8-spgray-select-2017,iphone8-spgray-select-2017.png,1500,1500,835,975,332,331,-0.0003,0.0457,0.0457,alpha,
iphone8-silver-select-2017,iphone8-silver-select-2017.png,1500,1500,834,975,332,331,-0.0007,0.0457,0.0457,alpha,
iphone8-gold-select-2017,iphone8-gold-select-2017.png,1500,1500,836,975,332,331,0.0,0.0457,0.0457,alpha,
iphone-12-pro-silver-hero,iphone-12-pro-silver-hero.png,1246,1246,590,810,328,275,0.0,0.0457,0.0457,alpha,
iphone-12-pro-graphite-hero,iphone-12-pro-graphite-hero.png,1246,1246,590,810,328,275,0.0,0.0457,0.0457,alpha,
iphone-12-pro-gold-hero,iphone-12-pro-gold-hero.png,1246,1246,591,810,328,275,0.0004,0.0457,0.0457,alpha,
iphone-12-pro-blue-hero,iphone-12-pro-blue-hero.png,1246,1246,590,810,328,275,0.0,0.0457,0.0457,alpha,
iphone-11-pro-midnight-green-select-2019_AV2,iphone-11-pro-midnight-green-select-2019_AV2.png,1000,1000,232,309,384,390,0.0,0.0445,0.0445,alpha,
iphone-12-white-select-2020,iphone-12-white-select-2020.png,1238,1238,590,805,324,271,0.0,0.044,0.044,alpha,
iphone-12-purple-select-2021,iphone-12-purple-select-2021.png,1238,1238,590,805,324,271,0.0,0.044,0.044,alpha,
iphone6-silver-select-2014,iphone6-silver-select-2014.png,1502,1502,743,976,380,329,0.0003,0.0439,0.0439,alpha,
iphone6-gray-select-2014,iphone6-gray-select-2014.png,1500,1500,742,975,380,328,0.0007,0.0437,0.0437,alpha,
iphone6-select-2014,iphone6-select-2014.png,1497,1497,741,973,378,327,0.0,0.0434,0.0434,alpha,
iphone-12-black-select-2020,iphone-12-black-select-2020.png,1237,1237,590,804,323,270,-0.0004,0.0432,0.0432,alpha,
iphone-12-red-select-2020,iphone-12-red-select-2020.png,1237,1237,590,804,323,270,-0.0004,0.0432,0.0432,alpha,
iphone-12-green-select-2020,iphone-12-green-select-2020.png,1237,1237,590,804,323,270,-0.0004,0.0432,0.0432,alpha,
iphone-12-blue-select-2020,iphone-12-blue-select-2020.png,1237,1237,590,804,323,270,-0.0004,0.0432,0.0432,alpha,
MHXH3,MHXH3.png,4096,4096,2546,3646,775,402,0.0,0.0432,0.0432,alpha,
MHXH3_AV1,MHXH3_AV1.png,4096,4096,2555,3646,766,402,-0.0011,0.0432,0.0432,alpha,
MHXH3_AV4,MHXH3_AV4.png,4096,4096,2546,3646,775,402,0.0,0.0432,0.0432,alpha,
iphone-11-pro-max-midnight-green-select-2019,iphone-11-pro-max-midnight-green-select-2019.png,2635,2635,1240,1713,697,572,-0.0002,0.0421,0.0421,alpha,
iphone-11-pro-max-silver-select-2019,iphone-11-pro-max-silver-select-2019.png,2637,2637,1240,1714,698,572,-0.0002,0.0419,0.0419,alpha,
iphone-11-pro-max-gold-select-2019,iphone-11-pro-max-gold-select-2019.png,2634,2634,1240,1712,697,571,0.0,0.0418,0.0418,alpha,
MK0C2_AV2,MK0C2_AV2.png,4608,4608,3317,2536,838,1170,0.0418,0.0291,0.0418,alpha,
iphone-11-pro-max-space-select-2019,iphone-11-pro-max-space-select-2019.png,2635,2635,1240,1713,697,570,-0.0002,0.0414,0.0414,alpha,
ipad-pro-10in-wifi-select-spacegray-201706,ipad-pro-10in-wifi-select-spacegray-201706.png,1502,1502,836,976,334,325,0.0007,0.0413,0.0413,alpha,
ipad-pro-10in-wifi-select-gold-201706,ipad-pro-10in-wifi-select-gold-201706.png,1502,1502,836,976,334,325,0.0007,0.0413,0.0413,alpha,
ipad-pro-10in-wifi-select-rosegold-201706,ipad-pro-10in-wifi-select-rosegold-201706.png,1502,1502,836,976,334,325,0.0007,0.0413,0.0413,alpha,
iphone6s-gray-select-2015,iphone6s-gray-select-2015.png,1508,1508,746,980,380,326,-0.0007,0.0411,0.0411,alpha,
iphone6s-silver-select-2015,iphone6s-silver-select-2015.png,1509,1509,746,981,380,326,-0.001,0.0411,0.0411,alpha,
iphone6s-gold-select-2015,iphone6s-gold-select-2015.png,1509,1509,746,981,380,326,-0.001,0.0411,0.0411,alpha,
iphone6s-rosegold-select-2015,iphone6s-rosegold-select-2015.png,1509,1509,746,981,380,326,-0.001,0.0411,0.0411,alpha,
ipad-pro-10in-wifi-select-silver-201706,ipad-pro-10in-wifi-select-silver-201706.png,1502,1502,836,976,334,324,0.0007,0.0406,0.0406,alpha,
iphone-12-pro-blue-hero_AV2,iphone-12-pro-blue-hero_AV2.png,4608,4608,2646,3628,979,675,-0.0004,0.0401,0.0401,alpha,
ipad-pro-select-silver-201603,ipad-pro-select-silver-201603.png,1766,1766,956,1148,335,310,-0.0396,0.0006,0.0396,alpha,
ipad-pro-select-spacegray-201603,ipad-pro-select-spacegray-201603.png,1766,1766,956,1148,335,310,-0.0396,0.0006,0.0396,alpha,
ipad-pro-select-gold-201603,ipad-pro-select-gold-201603.png,1766,1766,956,1148,335,310,-0.0396,0.0006,0.0396,alpha,
iphone7-jetblack-select-2016,iphone7-jetblack-select-2016.png,1532,1532,836,996,348,326,0.0,0.0379,0.0379,alpha,
MK0C2_AV1,MK0C2_AV1.png,4608,4608,1540,2735,1508,1105,-0.0056,0.0366,0.0366,alpha,
iphone-16-black-select-202409,iphone-16-black-select-202409.png,4608,4608,2825,3070,726,915,-0.0359,0.0317,0.0359,alpha,
iphone-16-white-select-202409,iphone-16-white-select-202409.png,4608,4608,2825,3070,726,915,-0.0359,0.0317,0.0359,alpha,
iphone-16-pink-select-202409,iphone-16-pink-select-202409.png,4608,4608,2825,3070,726,915,-0.0359,0.0317,0.0359,alpha,
iphone-16-teal-select-202409,iphone-16-teal-select-202409.png,4608,4608,2825,3070,726,915,-0.0359,0.0317,0.0359,alpha,
iphone-16-ultramarine-select-202409,iphone-16-ultramarine-select-202409.png,4608,4608,2825,3070,726,915,-0.0359,0.0317,0.0359,alpha,
MC604_AV2,MC604_AV2.png,2000,2000,1608,1465,176,199,-0.01,-0.0343,0.0343,white,
iphone-xs-max-gold-select-2018,iphone-xs-max-gold-select-2018.png,1472,1472,550,957,461,308,0.0,0.0343,0.0343,alpha,
iphone-xs-max-silver-select-2018,iphone-xs-max-silver-select-2018.png,1472,1472,550,957,461,308,0.0,0.0343,0.0343,alpha,
iphone-xs-max-space-select-2018,iphone-xs-max-space-select-2018.png,1472,1472,550,957,461,308,0.0,0.0343,0.0343,alpha,
ipad-air-select-wifi-gold-201903,ipad-air-select-wifi-gold-201903.png,1474,1474,857,958,309,308,0.0003,0.0339,0.0339,alpha,
ipad-air-select-wifi-spacegray-201903,ipad-air-select-wifi-spacegray-201903.png,1472,1472,857,957,308,307,0.0003,0.0336,0.0336,alpha,
ipad-air-select-wifi-silver-201903,ipad-air-select-wifi-silver-201903.png,1472,1472,857,957,308,307,0.0003,0.0336,0.0336,alpha,
iphone-14-blue-select-202209,iphone-14-blue-select-202209.png,4608,4608,2289,3056,1158,924,-0.0003,0.0321,0.0321,alpha,
iphone-14-purple-select-202209,iphone-14-purple-select-202209.png,4608,4608,2289,3056,1158,924,-0.0003,0.0321,0.0321,alpha,
iphone-14-midnight-select-202209,iphone-14-midnight-select-202209.png,4608,4608,2289,3056,1158,924,-0.0003,0.0321,0.0321,alpha,
iphone-14-starlight-select-202209,iphone-14-starlight-select-202209.png,4608,4608,2289,3056,1158,924,-0.0003,0.0321,0.0321,alpha,
iphone-14-red-select-202209,iphone-14-red-select-202209.png,4608,4608,2289,3056,1158,924,-0.0003,0.0321,0.0321,alpha,
2012-iphone5-black,2012-iphone5-black.png,2245,2245,1024,1459,613,322,0.0011,-0.0316,0.0316,alpha,
MGRM2_AV3,MGRM2_AV3.png,4608,4608,3160,849,709,1734,-0.0033,-0.0316,0.0316,alpha,
iphone-16e-black-select-202502,iphone-16e-black-select-202502.png,4608,4608,2508,3071,1050,913,0.0,0.0314,0.0314,alpha,
iphone-16e-white-select-202502,iphone-16e-white-select-202502.png,4608,4608,2508,3071,1053,913,0.0007,0.0314,0.0314,alpha,
MX532,MX532.png,1024,1024,452,454,287,253,0.001,-0.0312,0.0312,alpha,
iphone-15-pro-blacktitanium-select,iphone-15-pro-blacktitanium-select.png,4608,4608,2483,3075,1061,905,-0.0003,0.0301,0.0301,alpha,
iphone-15-pro-whitetitanium-select,iphone-15-pro-whitetitanium-select.png,4608,4608,2483,3075,1061,905,-0.0003,0.0301,0.0301,alpha,
iphone-15-pro-bluetitanium-select,iphone-15-pro-bluetitanium-select.png,4608,4608,2483,3075,1061,905,-0.0003,0.0301,0.0301,alpha,
iphone-15-pro-naturaltitanium-select,iphone-15-pro-naturaltitanium-select.png,4608,4608,2483,3075,1061,905,-0.0003,0.0301,0.0301,alpha,
MGRM2_AV1,MGRM2_AV1.png,4608,4608,1797,3596,1471,644,0.0142,0.0299,0.0299,alpha,
iphone-14-yellow-select-202303,iphone-14-yellow-select-202303.png,4608,4608,2289,3034,1158,924,-0.0003,0.0297,0.0297,alpha,
iphone-14-pro-silver-select,iphone-14-pro-silver-select.png,4608,4608,2483,3076,1061,903,-0.0003,0.0297,0.0297,alpha,
iphone-15-black-select-202309,iphone-15-black-select-202309.png,4608,4608,2311,3034,1148,924,-0.0001,0.0297,0.0297,alpha,
iphone-15-blue-select-202309,iphone-15-blue-select-202309.png,4608,4608,2311,3034,1148,924,-0.0001,0.0297,0.0297,alpha,
iphone-15-green-select-202309,iphone-15-green-select-202309.png,4608,4608,2311,3034,1148,924,-0.0001,0.0297,0.0297,alpha,
iphone-15-yellow-select-202309,iphone-15-yellow-select-202309.png,4608,4608,2311,3034,1148,924,-0.0001,0.0297,0.0297,alpha,
iphone-15-pink-select-202309,iphone-15-pink-select-202309.png,4608,4608,2311,3034,1148,924,-0.0001,0.0297,0.0297,alpha,
iphone-14-pro-spaceblack-select,iphone-14-pro-spaceblack-select.png,4608,4608,2483,3075,1061,903,-0.0003,0.0296,0.0296,alpha,
iphone-14-pro-deeppurple-select,iphone-14-pro-deeppurple-select.png,4608,4608,2483,3074,1061,903,-0.0003,0.0295,0.0295,alpha,
iphone-14-pro-gold-select,iphone-14-pro-gold-select.png,4608,4608,2483,3073,1061,903,-0.0003,0.0294,0.0294,alpha,
iphone-17-finish-select-black-202509,iphone-17-finish-select-black-202509.png,4608,4608,1728,3036,1440,920,0.0,0.0291,0.0291,alpha,
iphone-17-finish-select-lavender-202509,iphone-17-finish-select-lavender-202509.png,4608,4608,1728,3036,1440,920,0.0,0.0291,0.0291,alpha,
iphone-17-finish-select-mistblue-202509,iphone-17-finish-select-mistblue-202509.png,4608,4608,1728,3036,1440,920,0.0,0.0291,0.0291,alpha,
iphone-17-finish-select-sage-202509,iphone-17-finish-select-sage-202509.png,4608,4608,1728,3036,1440,920,0.0,0.0291,0.0291,alpha,
iphone-17-finish-select-white-202509,iphone-17-finish-select-white-202509.png,4608,4608,1728,3036,1440,920,0.0,0.0291,0.0291,alpha,
iphone-11-pro-max-midnight-green-select-2019_AV2,iphone-11-pro-max-midnight-green-select-2019_AV2.png,1000,1000,247,341,376,358,-0.0005,0.0285,0.0285,alpha,
iphone-17-pro-finish-select-deepblue-202509,iphone-17-pro-finish-select-deepblue-202509.png,4608,4608,2461,3050,1076,908,0.0005,0.028,0.028,alpha,
iphone-17-pro-finish-select-cosmicorange-202509,iphone-17-pro-finish-select-cosmicorange-202509.png,4608,4608,2461,3050,1076,908,0.0005,0.028,0.028,alpha,
iphone-17-pro-finish-select-silver-202509,iphone-17-pro-finish-select-silver-202509.png,4608,4608,2461,3050,1076,908,0.0005,0.028,0.028,alpha,
MC604_AV1,MC604_AV1.png,2000,2000,1616,1889,208,111,0.008,0.0278,0.0278,white,
iphone-16-pro-blacktitanium-select,iphone-16-pro-blacktitanium-select.png,4608,4608,2460,3050,1074,904,0.0,0.0271,0.0271,alpha,
iphone-16-pro-naturaltitanium-select,iphone-16-pro-naturaltitanium-select.png,4608,4608,2460,3050,1074,904,0.0,0.0271,0.0271,alpha,
iphone-16-pro-whitetitanium-select,iphone-16-pro-whitetitanium-select.png,4608,4608,2460,3050,1074,904,0.0,0.0271,0.0271,alpha,
iphone-16-pro-deserttitanium-select,iphone-16-pro-deserttitanium-select.png,4608,4608,2460,3050,1074,904,0.0,0.0271,0.0271,alpha,
iphone-x-silver-select-2017,iphone-x-silver-select-2017.png,1017,1017,459,661,278,204,-0.001,0.0256,0.0256,alpha,
iphone-x-gray-select-2017,iphone-x-gray-select-2017.png,1017,1017,459,661,278,204,-0.001,0.0256,0.0256,alpha,
MHXH3_AV2,MHXH3_AV2.png,4096,4096,2546,3791,775,257,0.0,0.0255,0.0255,alpha,
MA501_AV3,MA501_AV3.png,1400,1400,1200,1176,128,121,0.02,0.0064,0.02,white,
ipad-2021-hero-silver-wifi-select,ipad-2021-hero-silver-wifi-select.png,1305,1305,727,848,289,254,0.0,0.0195,0.0195,alpha,
ipad-2021-hero-space-wifi-select,ipad-2021-hero-space-wifi-select.png,1305,1305,727,848,289,254,0.0,0.0195,0.0195,alpha,
MGRM2_AV2,MGRM2_AV2.png,4608,4608,1401,4034,1604,198,0.0001,-0.0193,0.0193,alpha,
iphone-se-black-select-2020,iphone-se-black-select-2020.png,2062,2062,1099,1340,489,398,0.0036,0.0179,0.0179,alpha,
iphone-se-white-select-2020,iphone-se-white-select-2020.png,2062,2062,1100,1340,488,398,0.0034,0.0179,0.0179,alpha,
iphone-se-red-select-2020,iphone-se-red-select-2020.png,2062,2062,1099,1340,489,398,0.0036,0.0179,0.0179,alpha,
MGRM2_AV5,MGRM2_AV5.png,4608,4608,2028,4037,1305,203,0.0033,-0.0179,0.0179,alpha,
ipad-mini-select-wifi-spacegray-201903,ipad-mini-select-wifi-spacegray-201903.png,1418,1418,775,922,321,272,-0.0004,0.0169,0.0169,alpha,
ipad-mini-select-wifi-silver-201903,ipad-mini-select-wifi-silver-201903.png,1418,1418,775,922,321,272,-0.0004,0.0169,0.0169,alpha,
ipad-mini-select-wifi-gold-201903,ipad-mini-select-wifi-gold-201903.png,1418,1418,775,922,321,272,-0.0004,0.0169,0.0169,alpha,
iphone-air-finish-select-spaceblack-202509,iphone-air-finish-select-spaceblack-202509.png,4608,4608,1817,3192,1395,785,-0.0001,0.0167,0.0167,alpha,
iphone-air-finish-select-cloudwhite-202509,iphone-air-finish-select-cloudwhite-202509.png,4608,4608,1817,3192,1395,785,-0.0001,0.0167,0.0167,alpha,
iphone-air-finish-select-lightgold-202509,iphone-air-finish-select-lightgold-202509.png,4608,4608,1817,3192,1395,785,-0.0001,0.0167,0.0167,alpha,
iphone-air-finish-select-skyblue-202509,iphone-air-finish-select-skyblue-202509.png,4608,4608,1817,3192,1395,785,-0.0001,0.0167,0.0167,alpha,
